Name,MainCategory,Categories
Demon Slayer,Anime,"Drama,Adventure,Friendship,Overcome"
O Tio de Outro Mundo,Anime,"Comedy,Superpowers"
My Daemon,Anime,"Adventure,Friendship,Prejudice"
Parasyte,Anime,"Drama,Gore,Alien"
Psycho-Pass,Anime,"Drama,Justice,Gore,Future"
PLUTO,Anime,"Drama,AI,Heroes"
Mob Psycho 100,Anime,"Supernatural,School"
DAN DA DAN,Anime,"Fantasy,Alien,Romance"
"Boa Noite, Mundo",Anime,"Adventure,Game"
Mashle,Anime,School
VINLAND SAGA,Anime,"Medieval,Self-Discovery"
SPY x FAMILY,Anime,"Comedy,Family Friend,Slice of Life"
Lookism,Anime,"School,Bullying,Character Switcher"
Kotaro Vai Morar Sozinho,Anime,"Drama,Slice of Life"
Romantic Killer,Anime,"Romance,Comedy,Slice of Life"
O Som da Magia,Miniseries,"Drama,Comedy,Mystery,Song,School,Musical"
Uma Família Inusitada,Miniseries,"Superpowers,Time Travel,Song"
Sr. Rainha,Miniseries,"Historical,Comedy,Character Switcher"
Mask Girl,Miniseries,"Drama,Mystery"
Pousando no Amor,Miniseries,"Comedy,Romance"
Um Homem Sem Filtros,Miniseries,"Comedy,Company"
O Gambito da Rainha,Miniseries,"Chess,Game"
Honra Teu Nome,Miniseries,"Historical,Hospital,Comedy,Time Travel"
Intensivão de Amor,Miniseries,"Romance,Slice of Life"
Diva à Deriva,Miniseries,"Romance,Song"
Maid,Miniseries,"Drama,Realistic"
Sorriso Real,Miniseries,"Romance,Company"
Miss Night and Day,Miniseries,"Drama,Comedy,Cop,Romance,Character Switcher"
Vejo Você na Próxima Vida,Miniseries,"Romance,Drama,Reincarnation"
Um Conto de Fadas Perfeito,Miniseries,"Romance,Comedy"
The 8 Show,Miniseries,"Greed,Game,Show,Gore"
Hometown Cha-Cha-Cha,Miniseries,"Romance,Comedy,Slice of Life"
"Holo, Meu Amor",Miniseries,"Romance,Drama,AI"
Celebrity,Miniseries,"Drama,Mystery"
As Três Irmãs,Miniseries,"Greed,Justice"
Behind Your Touch,Miniseries,"Comedy,Cop"
Clima do Amor,Miniseries,"Romance,Drama"
Anomalia,Miniseries,"Mystery,Alien"
Maniac,Miniseries,"Mystery,Simulation"
Nosso Eterno Verão,Miniseries,"Romance,Drama"
Meu Diário para a Liberdade,Miniseries,"Drama,Self-Discovery"
Por Trás de Seus Olhos,Miniseries,Mystery
Red Rose,Miniseries,"Survival,Suspense"
Trinta e Nove,Miniseries,"Drama,Slice of Life"
JUNG_E,Movie,"Drama,Action,AI,Future"
Milagre na Cela 7,Movie,"Drama,Special People"
Mogli - Entre Dois Mundos,Movie,"Live Action,Adventure,Nature"
Gato de Botas 2,Movie,"Animation,Comedy,Drama,Death"
Live is Life,Movie,"Drama,Overcome,Death"
Kill Boksoon,Movie,"Comedy,Adventure,Action"
Meu Nome é Loh Kiwan,Movie,"Drama,Romance,Realistic"
O Poço,Movie,"Mystery,Suspense"
Tumba Aberta,Movie,"Mystery,Suspense,Apocalypse,Infection"
Velha é a Vovozinha,Movie,Comedy
100 Coisas para Fazer Antes de Virar Zumbi,Movie,"Comedy,Apocalypse,Overcome"
37 Segundos,Movie,"Drama,Overcome,Special People"
Em uma Terra Muito Distante… Havia um Crime,Movie,"Adventure,Comedy,Fantasy"
O Jeremias,Movie,"Comedy,Self-Discovery"
O Menino e a Garça,Movie,"Animation,Fantasy,Adventure"
Suzume,Movie,"Animation,Self-Discovery"
Você nem imagina,Movie,"Drama,Self-Discovery"
ARQ,Movie,"Action,Loop"
Além da Morte,Movie,"Mystery,Suspense,Death"
Não Se Mexa,Movie,Terror
Feios,Movie,"Drama,Romance,Self-Discovery"
A Caminho do Céu,Series,"Drama,Death,Special People"
A Lição,Series,"Drama,Justice"
Messiah,Series,"Mystery,Suspense"
Loucos Um Pelo Outro,Series,"Comedy,Drama"
Que Chegue a Você,Series,"Romance,Special People,School"
Romance Is a Bonus Book,Series,"Romance,Drama,Song"
O Problema dos 3 Corpos,Series,"Mystery,Alien,Science"
Treta,Series,"Comedy,Drama,Self-Discovery"
Uma Advogada Extraordinária,Series,"Drama,Special People,Law"
Uma Dose Diária de Sol,Series,"Drama,Hospital"
Tudo Bem Não Ser Normal,Series,"Drama,Fairy Tale,Romance,Special People"
Wandinha,Series,"Comedy,Mystery,Superpowers,School"
Garota de Fora,Series,"Supernatural,Justice"
Modern Family,Series,"Comedy,Family Friend"
Love,Series,"Comedy,Romance,Adiction,Slice of Life"
Avatar,Series,Live Action
Crônicas de Arthdal,Series,"Mystical,Mystery,Prophecy"
Stranger Things,Series,"Mystery,Supernatural,Superpowers"
A Melhor Pior Funcionária,Series,"Comedy,Company"
Community,Series,"Comedy,University"
Resident Alien,Series,"Comedy,Alien"
Sandman,Series,"Gods,Fantasy"
Imperfeitos,Series,"Superpowers,Mystery,Comedy"
Modern Family,Series,"Comedy,Family Friend"
Olá? Sou Eu!,Series,"Comedy,Romance,Time Travel"
Ragnarok,Series,"Mythology,Nordic,Adventure"
Round 6,Series,"Greed,Survival,Game"
Ninguém Tá Olhando,Series,"Comedy,Celestial"
Jane The Virgin,Series,"Romance,Comedy,Latino"
The Good Place,Series,"Celestial,Self-Discovery"
The Umbrella Academy,Series,"Heroes,Drama,Time Travel"
Professora Sem Querer,Series,"Drama,Comedy,Justice,School"
O Mordomo da Minha Vida,Series,"Romance,Company"
Merlí,Series,"School,Philosophy,Drama"
Juvenile Justice,Series,"Drama,Law"
Boneca Russa,Series,"Time Travel,Loop"
Alquimia das Almas,Series,Fantasy
Daybreak,Series,"Comedy,Apocalypse"
Arquivo 81,Series,"Suspense,Mystery"
Love to Hate You,Series,Romance
Memórias de Alhambra,Series,"Drama,Historical,Song"
Profecia do Inferno,Series,"Mystery,Justice"
The End of the F***ing World,Series,"Drama,Comedy"
The Witcher,Series,"Medieval,Videogame,Fantasy"
Sex Education,Series,"Comedy,School"
Jinn,Series,Mystery
Beleza Verdadeira,Series,"School,Bullying"
Cidade dos Mortos,Series,"Apocalypse,Infection"
Community,Series,"Comedy,University"
Você é Minha Primavera,Series,"Drama,Romance,Mystery"
Limitless,Series,Superpowers
Itaewon Class,Series,"Drama,Company,Justice"
Doona!,Series,"Drama,Romance"
Minha Bebezinha,Series,"Drama,Cop,Comedy"
The Rain,Series,Supernatural
Paranormal,Series,"Mystery,Supernatural"
Feliz!,Series,"Comedy,Cop,Drugs"
